type,category,purpose,count
data_collected,Contacts,Developer communications,49
data_collected,Contacts,Advertising or marketing,74
data_collected,Health and fitness,Analytics,239
data_collected,Health and fitness,Advertising or marketing,66
data_collected,Calendar,App functionality,200
data_shared,Contacts,App functionality,89
data_shared,Photos and videos,Account management,128
data_collected,Health and fitness,"Fraud prevention, security, and compliance",42
data_collected,Audio,Account management,49
data_collected,Audio,Developer communications,39
data_collected,Files and docs,Developer communications,59
data_collected,Files and docs,"Fraud prevention, security, and compliance",139
data_collected,Files and docs,Personalization,98
data_collected,Calendar,Analytics,48
data_collected,Calendar,Developer communications,28
data_collected,Calendar,Advertising or marketing,32
data_collected,Calendar,"Fraud prevention, security, and compliance",28
data_collected,Calendar,Personalization,52
data_collected,Calendar,Account management,26
data_collected,Web browsing,Developer communications,41
data_collected,Web browsing,Account management,33
data_shared,Photos and videos,Developer communications,50
data_shared,Web browsing,Developer communications,24
data_shared,Messages,"Fraud prevention, security, and compliance",169
data_shared,Web browsing,Account management,16
data_collected,Health and fitness,Developer communications,45
data_shared,Health and fitness,Advertising or marketing,33
data_shared,Audio,"Fraud prevention, security, and compliance",28
data_shared,Health and fitness,Analytics,72
data_shared,Health and fitness,Developer communications,9
data_shared,Health and fitness,"Fraud prevention, security, and compliance",11
data_shared,Health and fitness,Account management,22
data_shared,Messages,Advertising or marketing,157
data_shared,Messages,Personalization,117
data_shared,Audio,Analytics,28
data_shared,Audio,Developer communications,13
data_shared,Audio,Advertising or marketing,14
data_shared,Audio,Personalization,20
data_shared,Audio,Account management,19
data_shared,Files and docs,Developer communications,27
data_shared,Files and docs,Advertising or marketing,30
data_shared,Files and docs,Personalization,30
data_shared,Files and docs,Account management,43
data_shared,Calendar,Analytics,18
data_shared,Calendar,Developer communications,12
data_shared,Calendar,Advertising or marketing,12
data_shared,Calendar,"Fraud prevention, security, and compliance",9
data_shared,Calendar,Personalization,16
data_shared,Calendar,Account management,11
data_shared,Contacts,Analytics,43
data_shared,Contacts,Developer communications,11
data_shared,Contacts,Advertising or marketing,36
data_shared,Contacts,"Fraud prevention, security, and compliance",17
data_shared,Contacts,Personalization,16
data_shared,Contacts,Account management,38
data_shared,Web browsing,Personalization,47
