type,data_type,purpose,count
data_collected,Sexual orientation,Account management,214
data_collected,Other info,App functionality,2235
data_collected,Other info,Account management,1411
data_shared,Precise location,Analytics,830
data_shared,Precise location,Advertising or marketing,868
data_shared,Precise location,"Fraud prevention, security, and compliance",204
data_shared,Name,Account management,679
data_shared,Email address,App functionality,1164
data_shared,Email address,Account management,987
data_shared,User IDs,App functionality,2015
data_shared,Address,App functionality,465
data_shared,Address,Account management,249
data_shared,Phone number,App functionality,628
data_shared,Phone number,Account management,360
data_shared,User payment info,App functionality,619
data_shared,User payment info,"Fraud prevention, security, and compliance",255
data_collected,Name,"Fraud prevention, security, and compliance",1409
data_collected,Address,"Fraud prevention, security, and compliance",603
data_collected,Address,Account management,1100
data_collected,Phone number,"Fraud prevention, security, and compliance",1025
data_collected,Phone number,Account management,2167
data_collected,Purchase history,Advertising or marketing,2376
data_collected,Purchase history,Personalization,1668
data_collected,App interactions,Advertising or marketing,4097
data_shared,Purchase history,App functionality,1143
data_shared,Purchase history,Analytics,2065
data_shared,Purchase history,Advertising or marketing,1869
data_shared,Diagnostics,App functionality,1802
data_shared,Other app performance data,App functionality,1140
data_collected,Approximate location,Advertising or marketing,4165
data_collected,Crash logs,App functionality,3549
data_collected,Diagnostics,App functionality,3269
data_collected,Diagnostics,Advertising or marketing,1856
data_collected,Other app performance data,App functionality,2074
data_shared,Purchase history,"Fraud prevention, security, and compliance",602
data_shared,App interactions,App functionality,1543
data_collected,Precise location,Advertising or marketing,736
data_shared,Precise location,Developer communications,123
data_shared,Precise location,Personalization,389
data_shared,App interactions,Developer communications,577
data_shared,App interactions,Personalization,954
data_shared,Crash logs,Developer communications,418
data_shared,Crash logs,Advertising or marketing,1405
data_shared,Crash logs,Personalization,343
data_shared,Diagnostics,Developer communications,428
data_shared,Diagnostics,Personalization,355
data_shared,Device or other IDs,Developer communications,1212
data_shared,Device or other IDs,Personalization,1493
data_shared,Approximate location,Personalization,985
data_shared,Other app performance data,Advertising or marketing,1120
data_shared,Other app performance data,Personalization,406
data_collected,Crash logs,Advertising or marketing,1285
data_collected,Crash logs,"Fraud prevention, security, and compliance",1673
data_collected,Crash logs,Personalization,374
data_collected,Diagnostics,Personalization,499
data_collected,Other app performance data,Advertising or marketing,1126
data_collected,Other app performance data,Personalization,526
data_collected,Device or other IDs,Personalization,2729
data_shared,Email address,Developer communications,520
data_collected,Fitness info,App functionality,526
data_collected,Emails,App functionality,504
data_collected,Installed apps,Advertising or marketing,421
data_shared,Videos,App functionality,287
